,Framecount,Prediction,Confident,Enthusiastic,Frustrated,Nervous,Neutral,Scared,Uncomfortable
68,780,nervous,0.021955154836177826,0.024182360619306564,0.03978777676820755,0.4980330765247345,0.008329132571816444,0.4069530665874481,0.0007594527560286224
69,790,nervous,0.015828797593712807,0.03374481201171875,0.01975192315876484,0.504798948764801,0.01284213550388813,0.4121432304382324,0.0008901961846277118
70,800,nervous,0.0023734676651656628,0.002171044237911701,0.003151390003040433,0.8627817034721375,0.014129593037068844,0.11531677097082138,7.611102046212181e-05
71,810,nervous,0.001118548447266221,6.979703175602481e-05,0.00033840417745523155,0.9863839745521545,0.001552314031869173,0.01053189393132925,5.073685770184966e-06
72,820,enthusiastic,0.0896073654294014,0.5117790699005127,0.008932865224778652,0.17832599580287933,0.0044016451574862,0.20615018904209137,0.0008028576266951859
73,830,confident,0.8461484909057617,0.011478216387331486,0.0035432185977697372,0.09632541984319687,0.037231314927339554,0.004685359075665474,0.0005878409720025957
74,840,nervous,0.053868912160396576,0.0024162582121789455,0.0038563450798392296,0.883673369884491,0.03426423296332359,0.02171134389936924,0.00020962805137969553
75,850,nervous,0.0502546988427639,0.24408726394176483,0.017521008849143982,0.3870421350002289,0.01721869595348835,0.28210437297821045,0.001771849114447832
76,860,nervous,0.013801603578031063,0.0050480482168495655,0.007496902719140053,0.859015703201294,0.018465857952833176,0.09563583880662918,0.0005359583301469684
77,870,nervous,0.009931489825248718,0.05213679373264313,0.012390509247779846,0.5208157300949097,0.012175236828625202,0.3923184871673584,0.00023172541114035994
78,880,scared,0.0727546364068985,0.12411148101091385,0.046332113444805145,0.22355562448501587,0.0018628656398504972,0.5309696197509766,0.0004136119969189167
79,920,confident,0.970312774181366,0.0001907699479488656,0.0025129166897386312,0.02426658198237419,0.0014086005976423621,0.0012567142257466912,5.157401756150648e-05
80,930,nervous,0.09982568770647049,0.03735930472612381,0.020592398941516876,0.688407838344574,0.006944822613149881,0.1465412974357605,0.0003286874562036246
81,940,nervous,0.02697794884443283,0.034959036856889725,0.025161463767290115,0.5327053070068359,0.006106331013143063,0.3738466799259186,0.0002432337059872225
82,950,nervous,0.0031096991151571274,0.0007897115428932011,0.003402989823371172,0.949299693107605,0.003409106284379959,0.039925042539834976,6.36737240711227e-05
83,960,nervous,0.0353594571352005,0.002470185747370124,0.017703555524349213,0.81034916639328,0.06919904053211212,0.06372278928756714,0.0011958596296608448
84,970,nervous,0.008959751576185226,0.0026763523928821087,0.005501569714397192,0.8500796556472778,0.033419154584407806,0.09930697083473206,5.654504639096558e-05
85,980,nervous,0.027116451412439346,0.00011545517918420956,0.003123150672763586,0.9357892870903015,0.014992739073932171,0.018788108602166176,7.483064837288111e-05
86,990,confident,0.4327971637248993,0.04778864234685898,0.014004005119204521,0.3409130275249481,0.0935388058423996,0.06921478360891342,0.001743517117574811
87,1000,nervous,0.23927465081214905,0.15851031243801117,0.005837721284478903,0.32494261860847473,0.010119426995515823,0.2607177495956421,0.000597467995248735
88,1010,nervous,0.1339707374572754,0.01013854518532753,0.006147456355392933,0.7159822583198547,0.05397823452949524,0.07879970967769623,0.0009830162161961198
89,1020,nervous,0.10020917654037476,0.07374340295791626,0.021911796182394028,0.3992795944213867,0.016948679462075233,0.38724979758262634,0.0006575330044142902
90,1030,nervous,0.09242238849401474,0.004345368593931198,0.01438761968165636,0.6168630123138428,0.20814724266529083,0.06208568066358566,0.001748671056702733
91,1040,scared,0.12106771767139435,0.02762710675597191,0.0009441426955163479,0.2509251534938812,0.01722884550690651,0.5821112394332886,9.584850340615958e-05
92,1090,confident,0.7393571734428406,0.019780147820711136,0.0005208037910051644,0.22305279970169067,0.005232440307736397,0.011874791234731674,0.0001818951132008806
93,1100,confident,0.9341409206390381,0.036145564168691635,0.0009790075710043311,0.005711590405553579,0.015400299802422523,0.007234718184918165,0.00038789690006524324
94,1110,scared,0.20726749300956726,0.02085130475461483,0.0018420674605295062,0.2917758524417877,0.0006367177702486515,0.47750285267829895,0.00012361891276668757
95,1120,nervous,0.33855998516082764,0.014269351027905941,0.003197022946551442,0.5284740924835205,0.00879465602338314,0.10651697963476181,0.00018795428331941366
96,1130,confident,0.8695145845413208,0.0020378169137984514,0.000686522398609668,0.1220637857913971,0.0018217603210359812,0.0038113428745418787,6.414761446649209e-05
97,1140,confident,0.6728870272636414,0.027729922905564308,0.0021860823035240173,0.265339195728302,0.005388732999563217,0.02632060833275318,0.0001484994136262685
98,1150,nervous,0.23169927299022675,0.020952731370925903,0.009462925605475903,0.653593897819519,0.025198614224791527,0.05802455544471741,0.0010679838014766574
99,1160,nervous,0.15804927051067352,0.02236626297235489,0.00726516917347908,0.6814907193183899,0.043926700949668884,0.08604121208190918,0.0008606690098531544
100,1170,confident,0.4293072521686554,0.39547309279441833,0.0074549466371536255,0.07135020941495895,0.01213164534419775,0.0829741507768631,0.00130866386462003
101,1180,nervous,0.31469854712486267,0.0030646168161183596,0.007695314474403858,0.5231646299362183,0.12534990906715393,0.01504623331129551,0.01098079513758421
102,1190,nervous,0.005009325221180916,2.45466289925389e-05,0.0020162451546639204,0.9000200629234314,0.07352355122566223,0.01380437333136797,0.005602019373327494
103,1200,enthusiastic,0.32159438729286194,0.6528170704841614,0.0017462334362789989,0.009646335616707802,0.0030029925983399153,0.010086478665471077,0.0011064879363402724
104,1210,nervous,0.28055867552757263,0.11151675879955292,0.025198915973305702,0.4080239534378052,0.07962764799594879,0.09029323607683182,0.004780730232596397
105,1220,enthusiastic,0.21295690536499023,0.32041308283805847,0.007862260565161705,0.2608528137207031,0.06563789397478104,0.13072513043880463,0.001551934750750661
106,1230,scared,0.11258003115653992,0.266554594039917,0.02041344717144966,0.13581381738185883,0.061529409140348434,0.39706042408943176,0.00604834221303463
107,1240,scared,0.06132730841636658,0.279658704996109,0.01711394265294075,0.12289133667945862,0.015157047659158707,0.5012966990470886,0.002554977312684059
108,1250,scared,0.06085466966032982,0.08868658542633057,0.015568283386528492,0.32424396276474,0.07209993153810501,0.43671441078186035,0.0018320995150133967
109,1260,confident,0.6185646057128906,0.07812581956386566,0.03509211167693138,0.128277987241745,0.003150539007037878,0.13639375567436218,0.00039523752639070153
110,1270,nervous,0.16641445457935333,0.02579035796225071,0.04929375275969505,0.6123714447021484,0.04812679439783096,0.08787860721349716,0.010124539025127888
111,1280,nervous,0.014290906488895416,0.004723876714706421,0.017965594306588173,0.8814744353294373,0.022831011563539505,0.05641671270132065,0.002297465456649661
112,1290,nervous,0.10544410347938538,0.005405677482485771,0.008681523613631725,0.6982609629631042,0.10717140883207321,0.07190528512001038,0.00313106132671237
113,1300,confident,0.8958109021186829,0.0004966371925547719,0.0005012254696339369,0.052250929176807404,0.043986253440380096,0.006045988295227289,0.0009079812443815172
114,1310,confident,0.5212575197219849,0.18318244814872742,0.005549606401473284,0.151095449924469,0.056819554418325424,0.07994431257247925,0.002151122549548745
115,1320,enthusiastic,0.39943385124206543,0.4535503089427948,0.001960666151717305,0.043086420744657516,0.004813182167708874,0.0963941290974617,0.0007615291397087276
116,1330,nervous,0.15659365057945251,0.001124244648963213,0.0015302890678867698,0.7159152626991272,0.08129686117172241,0.04148455709218979,0.002055202145129442
117,1340,nervous,0.08916407078504562,0.002218260895460844,0.00817952211946249,0.7470231652259827,0.10729540139436722,0.042261384427547455,0.003858148818835616
118,1350,nervous,0.18255528807640076,0.010821126401424408,0.03428591415286064,0.26568782329559326,0.21741409599781036,0.21917684376239777,0.0700589194893837
119,1360,enthusiastic,0.16531194746494293,0.5212066769599915,0.015953274443745613,0.0771649032831192,0.024210937321186066,0.19121229648590088,0.004940086044371128
120,1370,confident,0.33124980330467224,0.14821024239063263,0.016380954533815384,0.17658044397830963,0.1838476061820984,0.12021473795175552,0.023516179993748665
121,1380,nervous,0.1349034160375595,0.006214834284037352,0.030010709539055824,0.5677763819694519,0.21013233065605164,0.04489649087190628,0.006065850146114826
122,1390,nervous,0.004616723395884037,0.0014206953346729279,0.0020606378093361855,0.9314931631088257,0.02499345690011978,0.035313285887241364,0.00010205659054918215
123,1400,nervous,0.05406555160880089,0.002605436835438013,0.00821059662848711,0.783674418926239,0.06837841123342514,0.08195198327302933,0.001113586244173348
124,1410,nervous,0.0028756828978657722,0.0003231429145671427,0.002538657281547785,0.9371913075447083,0.02855221927165985,0.028454741463065147,6.42878731014207e-05
125,1420,nervous,0.011680454015731812,0.0005008779698982835,0.0024996488355100155,0.9419156908988953,0.030203979462385178,0.012939846143126488,0.00025951748830266297
126,1430,confident,0.4580264687538147,0.03840512037277222,0.015757232904434204,0.4208495020866394,0.012535803020000458,0.05236601456999779,0.0020599181298166513
127,1440,nervous,0.336592435836792,0.04407024383544922,0.026751305907964706,0.46466580033302307,0.015048295259475708,0.10903247445821762,0.003839427139610052
128,1450,confident,0.5994382500648499,0.037428420037031174,0.015078561380505562,0.11590079218149185,0.17543265223503113,0.03850920498371124,0.01821213588118553
129,1460,confident,0.5173484683036804,0.1284094750881195,0.02957003377377987,0.17419332265853882,0.013139063492417336,0.13456180691719055,0.002777887275442481
130,1470,enthusiastic,0.28565818071365356,0.3664545714855194,0.019798412919044495,0.09938880056142807,0.06671729683876038,0.15917249023914337,0.0028102726209908724
131,1480,nervous,0.07173916697502136,0.05720367282629013,0.009901635348796844,0.5082449913024902,0.17497369647026062,0.17719554901123047,0.0007412632112391293
132,1490,enthusiastic,0.230525404214859,0.31652483344078064,0.019575471058487892,0.16442804038524628,0.0888364389538765,0.12014974653720856,0.05996006354689598
133,1530,confident,0.7709645628929138,0.02971196547150612,0.018915265798568726,0.12993444502353668,0.0142170749604702,0.01351541094481945,0.022741246968507767
134,1540,confident,0.9968082308769226,0.0005406037671491504,0.00051028688903898,0.0016785131301730871,0.00019148601859342307,0.00019974843598902225,7.124260446289554e-05
135,1550,confident,0.9665819406509399,0.0008447839645668864,0.0021238343324512243,0.02595495618879795,0.002850595396012068,0.00046741002006456256,0.0011765511007979512
136,1560,confident,0.8262945413589478,0.003876163624227047,0.004299886059015989,0.15473905205726624,0.001989761833101511,0.005506116896867752,0.0032944546546787024
137,1570,nervous,0.0684652328491211,0.06597068160772324,0.0720602422952652,0.4120533764362335,0.13537007570266724,0.2321639508008957,0.0139164999127388
138,1580,nervous,0.10662013292312622,0.020057225599884987,0.04206700623035431,0.6280002593994141,0.09126639366149902,0.09511895477771759,0.016869960352778435
139,1590,nervous,0.04316539317369461,0.0005766504327766597,0.008045757189393044,0.6072315573692322,0.2474881261587143,0.09123314917087555,0.0022593545727431774
140,1600,neutral,0.0623726025223732,0.011378668248653412,0.018432678654789925,0.3634840250015259,0.4457603096961975,0.09397174417972565,0.004599957726895809
141,1610,confident,0.40631598234176636,0.24950449168682098,0.012808000668883324,0.16334496438503265,0.02576843462884426,0.1365572214126587,0.005700864363461733
142,1620,confident,0.29526978731155396,0.10893534868955612,0.024091795086860657,0.224290668964386,0.0949484184384346,0.2383246123790741,0.014139309525489807
143,1630,scared,0.23007915914058685,0.1793774962425232,0.017267080023884773,0.19637247920036316,0.07809888571500778,0.2843543291091919,0.014450564049184322
144,1640,nervous,0.09009839594364166,0.0610773041844368,0.015768133103847504,0.48504096269607544,0.11135469377040863,0.23008745908737183,0.006573032587766647
145,1650,neutral,0.24021600186824799,0.08560071885585785,0.012061307206749916,0.25920286774635315,0.2928507626056671,0.10126805305480957,0.008800297975540161
146,1660,nervous,0.1456781029701233,0.05670792981982231,0.012352162972092628,0.5161574482917786,0.12679411470890045,0.1365240514278412,0.005786171182990074
147,1670,nervous,0.16394902765750885,0.009037576615810394,0.0074691493064165115,0.6622281074523926,0.1000937968492508,0.051280632615089417,0.005941594019532204
148,1680,confident,0.9198313355445862,0.01586052216589451,0.0024324199184775352,0.0338377021253109,0.01977834478020668,0.0063004326075315475,0.0019591606687754393
149,1690,nervous,0.38215577602386475,0.03230544552206993,0.015622793696820736,0.40182697772979736,0.07153113186359406,0.08411566913127899,0.012442185543477535
150,1700,confident,0.3177911043167114,0.06512654572725296,0.01223317813128233,0.3157287836074829,0.15752838551998138,0.11924424022436142,0.012347686104476452
151,1710,nervous,0.014043218456208706,0.04286440461874008,0.00393467815592885,0.5862290263175964,0.044745974242687225,0.3051213324069977,0.003061313182115555
152,1720,nervous,0.045415908098220825,0.00034045285428874195,0.0033821589313447475,0.8255107402801514,0.04607812315225601,0.0737510472536087,0.00552160432562232
153,1730,nervous,0.04250437766313553,0.0921853557229042,0.022561678662896156,0.4081272482872009,0.10924884676933289,0.318491131067276,0.0068813893012702465
154,1740,nervous,0.10103292763233185,0.014862951822578907,0.017836129292845726,0.4867296814918518,0.2875383794307709,0.08590878546237946,0.006091139744967222
155,1750,nervous,0.17386774718761444,0.011563209816813469,0.025798939168453217,0.5707202553749084,0.11558373272418976,0.08289080858230591,0.019575273618102074
156,1760,nervous,0.104373499751091,0.04721362516283989,0.04881250485777855,0.5531488656997681,0.016330057755112648,0.22208093106746674,0.008040573447942734
157,1770,nervous,0.15193025767803192,0.0012981995241716504,0.008913685567677021,0.6918315887451172,0.09792810678482056,0.03531227260828018,0.012785953469574451
158,1780,nervous,0.05551822856068611,0.019102195277810097,0.034662503749132156,0.5401403903961182,0.0854661762714386,0.26199212670326233,0.0031184162944555283
159,1790,confident,0.41599956154823303,0.1476227045059204,0.038290251046419144,0.1904098242521286,0.03803488612174988,0.1557226926088333,0.013920057564973831
160,1800,scared,0.18957550823688507,0.1491219401359558,0.024404434487223625,0.2501395046710968,0.07714105397462845,0.2958289384841919,0.013788538053631783
161,1810,nervous,0.23106423020362854,0.14079523086547852,0.048843495547771454,0.3178708851337433,0.030273912474513054,0.21021397411823273,0.02093830332159996
162,1820,nervous,0.2934592664241791,0.08007244020700455,0.05853293836116791,0.33114805817604065,0.02027404122054577,0.2069174200296402,0.009595922194421291
163,1830,scared,0.14451903104782104,0.16766774654388428,0.039972934871912,0.28482672572135925,0.05594154819846153,0.2948895990848541,0.012182370759546757
164,1840,confident,0.46876323223114014,0.20055435597896576,0.037722568958997726,0.1088775172829628,0.03616964817047119,0.13406072556972504,0.013851870782673359
165,1850,confident,0.3903455436229706,0.02351616509258747,0.02801220491528511,0.38166067004203796,0.05030310899019241,0.11775675415992737,0.008405531756579876
166,1860,nervous,0.12365040183067322,0.002456086687743664,0.023676348850131035,0.7347388863563538,0.0679144337773323,0.04248299077153206,0.005080745089799166
167,1870,enthusiastic,0.11326303333044052,0.3787584900856018,0.024598175659775734,0.09488075971603394,0.016290878877043724,0.3684624433517456,0.0037462080363184214
168,1880,nervous,0.3107556104660034,0.046561747789382935,0.050239309668540955,0.4004155099391937,0.03725917637348175,0.14986774325370789,0.004900961183011532
169,1890,confident,0.3487969934940338,0.23233838379383087,0.030789365991950035,0.15464264154434204,0.019409287720918655,0.20733079314231873,0.006692518480122089
170,1900,enthusiastic,0.20311948657035828,0.42442575097084045,0.01959926262497902,0.10904926061630249,0.00976310670375824,0.23262622952461243,0.001416766201145947
171,1910,confident,0.3595351278781891,0.2987939417362213,0.027624884620308876,0.08686722069978714,0.11272828280925751,0.09984543919563293,0.014605061151087284
172,1920,nervous,0.17953482270240784,0.004581152461469173,0.014529758132994175,0.5344322919845581,0.21616823971271515,0.040561988949775696,0.010191681794822216
173,1930,enthusiastic,0.18840229511260986,0.3006089925765991,0.05831390246748924,0.2407480925321579,0.08210291713476181,0.11030120402574539,0.01952265575528145
174,1940,nervous,0.010411879979074001,0.0011860477970913053,0.010262612253427505,0.8579155206680298,0.08756308257579803,0.031154781579971313,0.0015060130972415209
