,Framecount,Expression,Probability,EAR
132,1320,neutral,"tensor([1.9028e-02, 2.4001e-04, 1.4840e-02, 2.8436e-01, 6.7558e-01, 5.9356e-03,
        1.6856e-05])",0.3072391516156279
133,1330,neutral,"tensor([1.7080e-02, 1.2463e-04, 9.8286e-03, 2.3400e-01, 7.3175e-01, 7.1995e-03,
        1.6839e-05])",0.27758984055379965
134,1340,neutral,"tensor([5.2751e-02, 7.2877e-04, 2.7270e-02, 1.8783e-01, 7.2402e-01, 7.3396e-03,
        6.1977e-05])",0.27193610982232974
135,1350,neutral,"tensor([4.4113e-03, 6.3810e-05, 7.3941e-03, 4.9027e-01, 4.9353e-01, 4.3280e-03,
        8.2603e-06])",0.13257611750373982
136,1360,neutral,"tensor([1.5155e-01, 1.9644e-03, 2.1556e-02, 1.3536e-01, 6.8649e-01, 2.8617e-03,
        2.2411e-04])",0.29588709774529337
137,1370,neutral,"tensor([1.2624e-01, 1.0311e-03, 2.9753e-02, 2.4064e-01, 5.9841e-01, 3.6833e-03,
        2.4971e-04])",0.26538489592552916
138,1380,neutral,"tensor([1.8227e-01, 2.1090e-03, 4.4938e-02, 2.1330e-01, 5.5027e-01, 6.5916e-03,
        5.3026e-04])",0.2395265429092187
139,1390,neutral,"tensor([3.7763e-02, 3.4961e-04, 2.0418e-02, 2.2686e-01, 7.0925e-01, 5.2976e-03,
        6.0961e-05])",0.22537591460048717
140,1400,neutral,"tensor([1.2827e-02, 1.4590e-04, 1.2390e-02, 3.5767e-01, 6.0957e-01, 7.3689e-03,
        1.9702e-05])",0.19122387184449868
141,1410,neutral,"tensor([1.7036e-02, 1.0069e-04, 7.6355e-03, 4.3352e-01, 5.3746e-01, 4.2260e-03,
        2.2281e-05])",0.20714285714285713
142,1420,nervous,"tensor([4.1534e-03, 9.5541e-06, 1.0647e-02, 6.5361e-01, 3.2968e-01, 1.8903e-03,
        9.0187e-06])",0.14267562141648107
143,1430,neutral,"tensor([2.6384e-02, 2.8947e-04, 1.8291e-02, 1.6952e-01, 7.8316e-01, 2.2989e-03,
        5.2456e-05])",0.2671764374546612
144,1440,neutral,"tensor([3.3774e-02, 5.1364e-04, 1.8055e-02, 2.5501e-01, 6.8667e-01, 5.9278e-03,
        4.9885e-05])",0.27852849132499574
145,1450,neutral,"tensor([4.6506e-02, 1.2458e-03, 2.2045e-02, 3.6709e-01, 5.5174e-01, 1.1321e-02,
        5.1659e-05])",0.2801875480009631
146,1460,neutral,"tensor([6.3238e-02, 3.3239e-03, 2.6025e-02, 2.0919e-01, 6.8116e-01, 1.7005e-02,
        5.5834e-05])",0.2395265429092187
147,1470,neutral,"tensor([6.3480e-02, 3.9306e-03, 3.1276e-02, 2.0227e-01, 6.8376e-01, 1.5105e-02,
        1.7605e-04])",0.2774725274725275
148,1480,neutral,"tensor([8.6167e-02, 1.0110e-03, 3.1040e-02, 2.5406e-01, 6.2006e-01, 7.5426e-03,
        1.1841e-04])",0.3072391516156279
149,1490,neutral,"tensor([5.6723e-02, 1.4917e-03, 6.1361e-02, 3.9724e-01, 4.6424e-01, 1.8646e-02,
        2.9571e-04])",0.2771094845912039
150,1500,neutral,"tensor([8.8153e-02, 4.0522e-03, 3.3963e-02, 2.3669e-01, 6.1601e-01, 2.0682e-02,
        4.5476e-04])",0.2987076696992359
151,1510,neutral,"tensor([8.8928e-02, 1.3428e-02, 3.8019e-02, 2.3052e-01, 6.0530e-01, 2.3456e-02,
        3.5264e-04])",0.2871809281171822
152,1520,neutral,"tensor([2.9488e-02, 3.7996e-04, 1.3476e-02, 2.5557e-01, 6.9551e-01, 5.4960e-03,
        8.1560e-05])",0.16192562703783267
153,1530,neutral,"tensor([6.0613e-02, 3.1266e-03, 9.9120e-03, 1.0918e-01, 8.0563e-01, 1.1466e-02,
        7.6002e-05])",0.2299596792976255
154,1540,neutral,"tensor([1.3209e-02, 1.2110e-04, 5.1760e-03, 2.0818e-01, 7.7032e-01, 2.9806e-03,
        1.2827e-05])",0.15237491365935463
155,1550,neutral,"tensor([2.1477e-02, 1.3651e-04, 6.5603e-03, 3.0261e-01, 6.6521e-01, 3.9808e-03,
        2.7532e-05])",0.20282113613159838
156,1560,neutral,"tensor([1.4574e-02, 3.8404e-05, 3.7172e-03, 4.6978e-01, 5.0925e-01, 2.6253e-03,
        1.0073e-05])",0.08178252295111765
157,1570,neutral,"tensor([6.8009e-02, 8.0393e-04, 1.2514e-02, 1.8184e-01, 7.3181e-01, 4.9611e-03,
        6.3709e-05])",0.3376756376188443
