,Framecount,Expression,Probability
60,700,nervous,"tensor([2.7203e-02, 1.4220e-03, 1.3600e-03, 8.9844e-01, 5.1874e-02, 1.9650e-02,
        5.2976e-05])"
61,710,nervous,"tensor([2.0295e-02, 1.2513e-02, 3.0664e-03, 8.7688e-01, 1.8029e-03, 8.5332e-02,
        1.0973e-04])"
62,720,nervous,"tensor([5.9562e-02, 1.3064e-02, 8.0530e-03, 8.2273e-01, 7.5221e-03, 8.8821e-02,
        2.4608e-04])"
63,730,confident,"tensor([0.5191, 0.2011, 0.0072, 0.2006, 0.0094, 0.0617, 0.0010])"
64,740,nervous,"tensor([2.5591e-02, 7.3873e-02, 1.8708e-02, 4.7879e-01, 7.8781e-03, 3.9497e-01,
        1.8809e-04])"
65,750,nervous,"tensor([1.1397e-02, 5.9367e-03, 2.8659e-03, 9.4548e-01, 1.0305e-02, 2.3808e-02,
        2.0946e-04])"
66,760,confident,"tensor([0.2693, 0.2523, 0.0410, 0.1977, 0.0094, 0.2291, 0.0012])"
67,770,nervous,"tensor([5.0515e-02, 4.2604e-04, 4.3279e-03, 8.3094e-01, 6.2040e-02, 5.1499e-02,
        2.5250e-04])"
68,780,nervous,"tensor([0.0220, 0.0242, 0.0398, 0.4980, 0.0083, 0.4070, 0.0008])"
69,790,nervous,"tensor([0.0158, 0.0337, 0.0198, 0.5048, 0.0128, 0.4121, 0.0009])"
70,800,nervous,"tensor([2.3735e-03, 2.1710e-03, 3.1514e-03, 8.6278e-01, 1.4130e-02, 1.1532e-01,
        7.6111e-05])"
71,810,nervous,"tensor([1.1185e-03, 6.9797e-05, 3.3840e-04, 9.8638e-01, 1.5523e-03, 1.0532e-02,
        5.0737e-06])"
72,820,enthusiastic,"tensor([0.0896, 0.5118, 0.0089, 0.1783, 0.0044, 0.2062, 0.0008])"
73,830,confident,"tensor([8.4615e-01, 1.1478e-02, 3.5432e-03, 9.6325e-02, 3.7231e-02, 4.6854e-03,
        5.8784e-04])"
